@RELATION P1Mario-data-training-T3Original

@ATTRIBUTE MergedObs[7][9] {-85, -62, -60, -24, 0, 1, 2, 3, 5, 25, 80, 93}
@ATTRIBUTE MergedObs[8][9] {-85, -62, -60, -24, 0, 1, 2, 3, 5, 25, 80, 93}
@ATTRIBUTE MergedObs[8][10] {-85, -62, -60, -24, 0, 1, 2, 3, 5, 25, 80, 93}
@ATTRIBUTE MergedObs[9][10] {-85, -62, -60, -24, 0, 1, 2, 3, 5, 25, 80, 93}
@ATTRIBUTE MergedObs[9][11] {-85, -62, -60, -24, 0, 1, 2, 3, 5, 25, 80, 93}
@ATTRIBUTE MergedObs[10][9] {-85, -62, -60, -24, 0, 1, 2, 3, 5, 25, 80, 93}
@ATTRIBUTE MergedObs[10][10] {-85, -62, -60, -24, 0, 1, 2, 3, 5, 25, 80, 93}
@ATTRIBUTE distanceEnemy NUMERIC
@ATTRIBUTE distanceCoin NUMERIC
@ATTRIBUTE isOnGround {Ground, Air}
@ATTRIBUTE isEnemy {Enemy, NoEnemy}
@ATTRIBUTE isEnemyBelow {Enemy, NoEnemy}
@ATTRIBUTE isCoin {Coin, NoCoin}
@ATTRIBUTE action {move, jump, move_jump, still}
@ATTRIBUTE reward NUMERIC
@ATTRIBUTE futureReward NUMERIC

@data
0,0,0,0,0,1,1,1414,894,Air,Enemy,Enemy,NoCoin,move,63,137
0,0,0,0,0,0,0,1414,761,Air,NoEnemy,NoEnemy,NoCoin,move,73,147
0,0,0,0,0,0,0,1414,761,Air,NoEnemy,NoEnemy,NoCoin,move,73,147
0,0,2,2,2,-24,-24,1414,707,Ground,NoEnemy,NoEnemy,Coin,move,73,147
0,0,0,0,0,1,-60,1414,1414,Air,NoEnemy,Enemy,NoCoin,move,137,147
0,0,0,-60,-60,-60,-60,1414,1414,Air,NoEnemy,NoEnemy,NoCoin,move,147,147
0,0,0,0,0,0,-60,1414,1414,Air,NoEnemy,NoEnemy,NoCoin,move,147,147
0,0,0,0,0,0,1,1414,700,Air,Enemy,NoEnemy,NoCoin,jump,147,147
0,0,0,0,0,1,0,1414,700,Air,NoEnemy,Enemy,NoCoin,move,147,147
0,0,2,2,2,-24,-24,1414,806,Ground,NoEnemy,NoEnemy,Coin,still,147,253
0,0,2,2,2,-24,-24,1414,806,Ground,NoEnemy,NoEnemy,Coin,still,147,253
0,0,2,2,2,-24,-24,1414,806,Ground,NoEnemy,NoEnemy,Coin,still,147,253
0,0,2,0,2,-24,-24,1414,806,Ground,NoEnemy,NoEnemy,NoCoin,still,163,253
0,0,0,2,0,2,1,1414,700,Air,Enemy,NoEnemy,Coin,still,195,253
0,0,0,2,0,2,1,1414,700,Air,Enemy,NoEnemy,Coin,still,195,253
0,0,0,0,0,0,0,1414,1414,Air,NoEnemy,NoEnemy,NoCoin,still,-1,-1
0,0,0,0,0,0,1,1414,1063,Air,Enemy,NoEnemy,NoCoin,move,-1,41
0,0,0,0,0,1,0,1414,1063,Air,NoEnemy,Enemy,NoCoin,move,-1,73
0,0,2,2,2,-24,-24,1414,905,Air,NoEnemy,NoEnemy,Coin,move,9,105
0,0,2,2,2,-24,-24,1414,905,Air,NoEnemy,NoEnemy,Coin,move,9,105
0,0,2,2,2,-24,-24,1414,905,Ground,NoEnemy,NoEnemy,Coin,move,9,105
0,0,0,0,2,-24,-24,1414,921,Ground,NoEnemy,NoEnemy,NoCoin,move,41,105
0,0,0,0,-85,0,1,1414,1414,Air,Enemy,NoEnemy,NoCoin,move,201,211
0,0,0,0,0,1,0,1414,1414,Air,NoEnemy,Enemy,NoCoin,move,339,339
0,0,0,0,0,-60,-60,1414,1414,Air,NoEnemy,NoEnemy,NoCoin,move,339,349
0,0,0,0,-62,-60,0,1414,1414,Ground,NoEnemy,NoEnemy,NoCoin,move,339,349
0,0,0,1,0,-60,-60,1414,1414,Ground,Enemy,NoEnemy,NoCoin,move_jump,339,349
0,0,0,0,0,1,0,1414,1414,Air,NoEnemy,Enemy,NoCoin,move,339,349
0,0,2,2,2,0,-24,1414,900,Air,NoEnemy,NoEnemy,Coin,move,349,413
0,0,2,2,2,0,-24,1414,900,Air,NoEnemy,NoEnemy,Coin,move,349,413
0,0,2,2,2,0,-24,1414,900,Air,NoEnemy,NoEnemy,Coin,move,349,413
0,0,0,0,0,-24,0,1414,900,Ground,NoEnemy,NoEnemy,NoCoin,move,413,413
0,0,0,0,0,1,0,1414,1414,Air,NoEnemy,Enemy,NoCoin,move,413,371
0,0,0,0,1,-60,-60,1414,1414,Air,NoEnemy,NoEnemy,NoCoin,move,413,371
0,0,0,1,0,-60,-60,1414,1414,Air,Enemy,NoEnemy,NoCoin,move,413,371
0,0,0,1,0,-60,-60,1414,1414,Air,Enemy,NoEnemy,NoCoin,move,413,371
0,0,0,1,0,-60,-60,1414,1414,Ground,Enemy,NoEnemy,NoCoin,move,413,371
0,0,0,0,0,1,0,1414,1414,Air,NoEnemy,Enemy,NoCoin,move,371,371
0,0,0,2,2,0,2,1414,905,Air,NoEnemy,NoEnemy,Coin,move,391,487
0,0,0,2,2,0,2,1414,905,Air,NoEnemy,NoEnemy,Coin,move,391,487
0,0,0,2,2,0,2,1414,905,Air,NoEnemy,NoEnemy,Coin,move,391,487
0,0,0,0,2,-24,-24,1414,905,Ground,NoEnemy,NoEnemy,NoCoin,move,423,487
