meanBlue,meanRed,sdBlue,skewnessBlue,dfRG,dfRB,dfGB,entropyBlue,energyBlue,contrastBlue,homogeneityBlue,coverage,clase
0.57611,0.428518,0.615105,0.380705,0.26957,0.289769,0.265326,0.540941,0.165256,0.150246,0.356933,0.203693,nube
0.621061,0.879081,0.611555,0.218681,0.851459,0.895633,0.770242,0.495408,0.140604,0.605339,0.020334,0.976529,nube
0.412575,0.53904,0.572229,0.426304,0.520981,0.66718,0.691481,0.293967,0.225677,0.077627,0.428659,0.188934,nube
0.243559,0.406076,0.928026,1,0.644719,0.692523,0.6127,0.604346,0.16772,0.090065,0.349644,0.334829,nube
0.153401,0.098002,0.428829,0.705691,0.277472,0.356145,0.376774,0.687252,0.290528,0.016634,0.670069,0.049347,nube
0.429674,0.55543,0.53988,0.649716,0.72597,0.66895,0.488637,0.463392,0.209035,0.037548,0.519652,0.178922,nube
0.554501,0.7311,0.7007,0.485975,0.695757,0.764535,0.69093,0.577711,0.255495,0.331224,0.160948,0.400169,nube
0.324831,0.360947,0.536737,0.808773,0.544162,0.519415,0.402402,0.485473,0.238984,0.033479,0.511312,0.120863,nube
0.186201,0.022007,0.393157,0.704426,0.181999,0.201029,0.193727,0.621384,0.293839,0.005803,0.786687,0.018074,cieloDespejado
0.373726,0.273578,0.526859,0.724345,0.404395,0.326423,0.195748,0.580259,0.329399,0.018803,0.673886,0.069696,nube
0.272325,0.332331,0.442699,0.794997,0.532713,0.546013,0.46175,0.56517,0.34744,0.015574,0.677668,0.075743,nube
0.3378,0.542655,0.591016,0.716629,0.66408,0.770518,0.733528,0.586509,0.299282,0.011268,0.716603,0.376113,nube
0.32029,0.299038,0.639442,0.796132,0.368306,0.434025,0.42556,0.666223,0.422355,0.007678,0.837917,0.021,nube
0.661326,0.71005,0.67235,0.325649,0.544467,0.593463,0.535282,0.443855,0.156068,0.139308,0.326017,0.433847,nube
0.563769,0.627461,0.667478,0.448325,0.606518,0.599473,0.483728,0.486498,0.191459,0.172281,0.257499,0.21325,nube
0.555362,0.774455,0.795666,0.493274,0.683393,0.827373,0.816383,0.211052,0.242683,0.206668,0.286795,0.51011,nube
0.32217,0.208867,0.47385,0.692345,0.351841,0.298518,0.198375,0.697968,0.294842,0.034922,0.615881,0.050387,nube
0.394551,0.669347,0.762754,0.849669,0.845925,0.883063,0.753193,0.718478,0.552013,0.061371,0.503744,0.448865,nube
0.247986,0.329935,0.510387,0.773081,0.493883,0.574379,0.551798,0.593014,0.269626,0.022246,0.594166,0.080034,nube
0.390676,0.383624,0.729293,0.795338,0.503462,0.466573,0.348263,0.577345,0.265009,0.075252,0.525154,0.12665,multinube
0.328379,0.55371,0.637542,0.724101,0.773987,0.799178,0.674614,0.587538,0.062366,0.236064,0.164711,0.562252,nube
0.353044,0.564182,0.598893,0.598058,0.643439,0.7823,0.775467,0.563951,0.198905,0.055556,0.448134,0.385801,multinube
0.339791,0.534499,0.310192,0.172407,0.72951,0.755874,0.641428,0.64379,0.410841,0.047713,0.458136,0.19121,nube
0.387098,0.472517,0.621887,0.632148,0.559599,0.60242,0.536185,0.426502,0.150117,0.123618,0.291965,0.156947,nube
0.368891,0.658173,0.618419,0.605632,0.722192,0.900209,0.908395,0.388396,0.074938,0.070813,0.338647,0.732722,multinube
0.399119,0.479397,0.499999,0.619453,0.571402,0.596816,0.514243,0.586788,0.350393,0.005435,0.842589,0.139328,nube
0.443873,0.740929,0.695738,0.580519,0.819593,0.924033,0.853352,0.51489,0.061222,0.187443,0.186774,0.685716,nube
0.570633,0.84754,0.469336,0.188685,0.904177,0.91519,0.752433,0.528652,0.294291,0.049834,0.469178,0.992003,nube
0.006771,0.00789,0.192122,0.700964,0.34163,0.415374,0.418825,0.738565,0.459876,0,0.974229,0.012548,cieloDespejado
0.808467,0.996631,0.569425,0.065473,0.780678,0.823442,0.711534,0.489893,0.213713,0.350626,0.095785,0.9344,nube
0.369725,0.623196,0.400315,0.329382,0.786767,0.84751,0.748704,0.54952,0.28217,0.067847,0.399841,0.474416,multinube
0.258107,0.594439,0.546889,0.715949,0.769171,0.951375,0.953208,0.710048,0.462304,0.012102,0.730082,0.611144,nube
0.475749,0.754675,0.385696,0.225477,0.812773,0.902535,0.821538,0.581651,0.321367,0.041574,0.519902,0.887719,multinube
0.179394,0.512796,0.539824,0.849818,0.837588,0.934081,0.853339,0.3744,0.034346,0.074656,0.325907,0.670633,multinube
0.371156,0.32447,0.567269,0.769174,0.411989,0.404879,0.329231,0.505826,0.334209,0.008257,0.77442,0.038814,cieloDespejado
0.312951,0.454907,0.778092,0.911885,0.619756,0.673621,0.603791,0.771216,0.503172,0.02815,0.626187,0.202133,nube
0.33671,0.193214,0.677163,0.70417,0.18725,0.256367,0.287985,0.407206,0.24452,0.023014,0.793572,0.032183,nube
0.458274,0.69453,0.720249,0.731815,0.803848,0.836699,0.71209,0.624829,0.464574,0.044941,0.535194,0.505494,nube
0.466684,0.743064,0.722548,0.564118,0.81488,0.897287,0.809981,0.495537,0.125257,0.098857,0.395462,0.772707,multinube
0.422861,0.369677,0.664773,0.692222,0.407248,0.403812,0.332078,0.616539,0.361959,0.005626,0.852928,0.088096,nube
0.293057,0.170019,0.422069,0.595345,0.261898,0.279358,0.254311,0.621065,0.238663,0.033386,0.572366,0.046096,nube
0.348273,0.380721,0.50283,0.717676,0.547003,0.517867,0.396763,0.495165,0.287512,0.010642,0.745976,0.049672,nube
0.349834,0.632039,0.505386,0.536183,0.74812,0.886627,0.857906,0.621242,0.33882,0.035798,0.508035,0.781159,multinube
0.33631,0.47662,0.637512,0.664553,0.584394,0.675041,0.641887,0.493003,0.12505,0.173567,0.207911,0.260516,nube
0.336199,0.653103,0.610083,0.645715,0.778019,0.935577,0.915901,0.650046,0.1504,0.172765,0.217287,0.776087,multinube
0.39052,0.276119,0.705514,0.768056,0.252682,0.308161,0.315382,0.612697,0.326477,0.002628,0.912419,0.039984,cieloDespejado
0.061053,0.04734,0.230299,0.594107,0.296373,0.402434,0.441036,0.775938,0.432178,0.002056,0.908111,0.026591,nube
0.39468,0.597896,0.619285,0.696915,0.706478,0.777471,0.703422,0.544651,0.32642,0.02377,0.576122,0.327092,nube
0.356531,0.301533,0.418969,0.63036,0.482053,0.390206,0.232421,0.468144,0.199327,0.060696,0.401621,0.031142,nube
0.276526,0.522087,0.43632,0.688262,0.857361,0.820481,0.629136,0.446105,0.022408,0.205365,0.135679,0.631363,nube
0.229205,0.435968,0.644617,0.830355,0.625484,0.755442,0.745203,0.620062,0.080996,0.200799,0.239632,0.459918,nube
0.46845,0.557636,0.251364,0,0.695939,0.621382,0.433261,0.812838,0.665006,0.033587,0.56071,0.153696,nube
0.06318,0.208846,0.28329,0.880575,0.605631,0.63794,0.55381,0.765157,0.332895,0.075505,0.492239,0.208634,nube
0.197897,0.457746,0.487636,0.873674,0.784176,0.828608,0.71731,0.600799,0.140161,0.246532,0.239953,0.437033,nube
0.336926,0.405431,0.574444,0.796651,0.633293,0.569199,0.402363,0.449641,0.203746,0.051433,0.453976,0.126455,nube
0.354341,0.320553,0.402784,0.572314,0.496709,0.421139,0.273329,0.445209,0.179251,0.063184,0.395405,0.012093,nube
0.405959,0.475523,0.598904,0.55957,0.539054,0.582135,0.520348,0.723142,0.419296,0.007126,0.826795,0.089396,nube
0.610367,0.633516,0.627858,0.465791,0.62766,0.547331,0.368692,0.461828,0.262245,0.05875,0.453449,0.165334,nube
0.456102,0.733393,0.703626,0.5523,0.816988,0.896886,0.807142,0.65744,0.291728,0.034085,0.604194,0.65945,multinube
